algorithm,problem,dataset_size,time_ms,solution_value,nodes_explored,configs_generated,memory_bytes,timestamp
FIQ_BruteForce,FIQ,5,0.285,1,1,0,2392520,2026-01-04T17:36:24.946683
FIQ_BruteForce,FIQ,6,0.011,1,1,0,2457624,2026-01-04T17:36:24.947023
FIQ_BruteForce,FIQ,7,0.162,2,128,0,2751760,2026-01-04T17:36:24.947756
FIQ_BruteForce,FIQ,8,0.352,2,256,0,3329408,2026-01-04T17:36:24.949115
FIQ_BruteForce,FIQ,9,0.737,2,512,0,4517288,2026-01-04T17:36:24.951654
FIQ_BruteForce,FIQ,10,1.099,2,1024,0,7044856,2026-01-04T17:36:24.955612
FIQ_BruteForce,FIQ,11,0.582,2,2048,0,12453696,2026-01-04T17:36:24.957894
FIQ_BruteForce,FIQ,12,1.649,2,4096,0,7094688,2026-01-04T17:36:24.963369
FIQ_Backtracking,FIQ,5,0.012,1,1,0,7094688,2026-01-04T17:36:24.964339
FIQ_Backtracking,FIQ,8,0.011,2,1,8,7094688,2026-01-04T17:36:24.96465
FIQ_Backtracking,FIQ,10,0.012,2,1,10,7230424,2026-01-04T17:36:24.964964
FIQ_Backtracking,FIQ,12,0.015,2,1,12,7413008,2026-01-04T17:36:24.965312
FIQ_Backtracking,FIQ,15,0.924,3,1,13448,8461568,2026-01-04T17:36:24.968882
FIQ_Backtracking,FIQ,18,1.032,3,1,14692,9510144,2026-01-04T17:36:24.97277
FIQ_Backtracking,FIQ,20,0.691,3,1,17370,10923856,2026-01-04T17:36:24.975353
FIQ_Backtracking,FIQ,22,0.604,3,1,15820,12155000,2026-01-04T17:36:24.977602
FIQ_Backtracking,FIQ,25,184392.080,4,1,11995922934,82816832,2026-01-04T17:45:38.157393
FIQ_Backtracking,FIQ,28,325124.811,4,1,23267373990,51380192,2026-01-04T18:01:53.525632
FIQ_Greedy_FirstFit,FIQ,5,0.008,1,0,0,51380192,2026-01-04T18:01:53.528085
